Area,State,Chapter Name,Sub-chapter Name,Category,Gender,2012,2013,2014,2015,2016
Anderson County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"35,318",NA,NA,"35,278","35,295"
Angelina County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"42,759",NA,"42,930","43,172",NA
Bastrop County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"38,687","39,756",NA,"42,048"
Bell County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"161,479","163,491","164,488","167,627","169,578"
Bell County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"162,057","163,352","164,652","167,314","170,833"
Bexar County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"878,266","894,866","913,205","934,696","950,953"
Bexar County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"907,521","922,744","942,661","963,057","977,727"
Bowie County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"47,001","47,144","47,091","47,067","47,163"
Brazoria County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"164,648","167,721","171,329","175,546","179,223"
Brazoria County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,NA,NA,NA,"170,766","174,972"
Brazos County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"102,885","106,002","109,009","111,695"
Cameron County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"200,495","201,613","202,933","204,031","204,606"
Chambers County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"18,554",NA,NA,NA
Cherokee County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,NA,NA,"26,254",NA
Collin County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"410,811","420,383","434,591","448,730","461,377"
Collin County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Female,"423,863","434,395","450,650","465,397","478,208"
Comal County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"56,414",NA,"60,928","63,697","66,496"
Cooke County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,NA,"19,054",NA,NA,NA
Coryell County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"38,096","37,870",NA,"37,551","36,973"
Dallas County,Texas,External causes of morbidity and mortality,Intentional self-harm,Population,Male,"1,214,528","1,226,429","1,241,277","1,257,332","1,267,426"
