County_Name,Region,RUCC_2013,Description
Anderson County,4,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Andrews County,9,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Angelina County,5,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Aransas County,11,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Archer County,2,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Armstrong County,1,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Atascosa County,8,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Austin County,6,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Bailey County,1,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Bandera County,8,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Bastrop County,7,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Baylor County,2,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Bee County,11,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Bell County,7,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Bexar County,8,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Blanco County,7,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Borden County,9,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Bosque County,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Bowie County,4,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Brazoria County,6,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Brazos County,7,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Brewster County,10,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Briscoe County,1,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Brooks County,11,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Brown County,2,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Burleson County,7,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Burnet County,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Caldwell County,7,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Calhoun County,8,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Callahan County,2,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Cameron County,11,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Camp County,4,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Carson County,1,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Cass County,4,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Castro County,1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
